Country,Overall Score 2018,Raning 2018
TAJIKISTAN,8.30,1
MOZAMBIQUE,8.28,2
AFGHANISTAN,8.28,3
LAOS,8.25,4
GUINEA-BISSAU,8.16,5
MYANMAR,7.50,6
CAMBODIA,7.48,7
LIBERIA,7.42,8
KENYA,7.40,9
VIETNAM,7.37,10
HAITI,7.33,11
BENIN,7.25,12
SIERRA LEONE,7.24,13
CAPE VERDE,7.02,14
ZIMBABWE,6.86,15
NIGERIA,6.86,16
YEMEN,6.81,17
PARAGUAY,6.79,18
NICARAGUA,6.72,19
TANZANIA,6.71,20
MONGOLIA,6.65,21
COTE D'IVOIRE,6.59,22
ARGENTINA,6.55,23
ANGOLA,6.49,24
PAKISTAN,6.49,25
JAMAICA,6.48,26
VANUATU,6.37,27
KAZAKHSTAN,6.36,28
ALGERIA,6.35,29
TIMOR-LESTE (East Timor),6.31,30
THAILAND,6.30,31
ECUADOR,6.30,32
MOROCCO,6.22,33
PANAMA,6.21,34
SENEGAL,6.20,35
KYRGYZSTAN,6.19,36
GUYANA,6.12,37
TURKEY,6.11,38
UKRAINE,6.06,39
CHINA,6.02,40
BOLIVIA,6.02,41
LEBANON,5.99,42
PHILIPPINES,5.94,43
MARSHALL ISLANDS,5.92,44
HONDURAS,5.85,45
BOSNIA-HERZEGOVINA,5.84,46
RUSSIA,5.83,47
UZBEKISTAN,5.82,48
DOMINICAN REPUBLIC,5.80,49
SERBIA,5.80,50
BANGLADESH,5.78,51
INDONESIA,5.73,52
UNITED ARAB EMIRATES,5.70,53
VENEZUELA,5.69,54
ALBANIA,5.57,55
KUWAIT,5.54,56
MALAYSIA,5.49,57
COSTA RICA,5.47,58
EL SALVADOR,5.43,59
BOTSWANA,5.40,60
MOLDOVA,5.37,61
EGYPT,5.35,62
SOUTH AFRICA,5.34,63
SWITZERLAND,5.33,64
BAHRAIN,5.33,65
GHANA,5.32,66
GEORGIA,5.31,67
INDIA,5.28,68
TRINIDAD AND TOBAGO,5.25,69
ARMENIA,5.23,70
HONG KONG,5.18,71
MEXICO,5.17,72
TAIWAN,5.15,73
PERU,5.14,74
JAPAN,5.11,75
LUXEMBOURG,5.11,76
ITALY,5.09,77
GAMBIA,5.08,78
QATAR,5.08,79
CYPRUS,5.01,80
SAUDI ARABIA,5.01,81
UNITED STATES,5.00,82
BRAZIL,4.96,83
GUATEMALA,4.95,84
MAURITIUS,4.94,85
CANADA,4.92,86
HUNGARY,4.92,87
NETHERLANDS,4.90,88
JORDAN,4.84,89
ROMANIA,4.75,90
AZERBAIJAN,4.70,91
SOUTH KOREA,4.69,92
PORTUGAL,4.66,93
ICELAND,4.59,94
IRELAND,4.58,95
GREECE,4.56,96
SINGAPORE,4.51,97
ST. LUCIA,4.48,98
ST. VINCENT AND THE GRENADINES,4.46,99
BELGIUM,4.46,100
SPAIN,4.45,101
GERMANY,4.44,102
COLOMBIA,4.42,103
POLAND,4.38,104
AUSTRIA,4.34,105
UNITED KINGDOM,4.23,106
GRENADA,4.20,107
DOMINICA,4.17,108
CHILE,4.16,109
SLOVAKIA,4.13,110
CZECH REPUBLIC,4.12,111
NORWAY,4.12,112
FRANCE,4.12,113
DENMARK,4.11,114
AUSTRALIA,4.06,115
URUGUAY,4.05,116
LATVIA,3.98,117
MALTA,3.96,118
MONTENEGRO,3.95,119
ISRAEL,3.84,120
CROATIA,3.83,121
SWEDEN,3.75,122
SLOVENIA,3.75,123
BULGARIA,3.53,124
MACEDONIA,3.33,125
NEW ZEALAND,3.20,126
LITHUANIA,3.12,127
ESTONIA,2.73,128
FINLAND,2.57,129
